"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202208","1호선","동대문","561","16","9859","1842","8375","6305","13390","11046","17632","20315","16633","19979","16135","19311","17382","22249","21141","22333","21868","20006","22409","19063","22775","18607","23343","18034","22705","17736","22042","18224","15665","16396","12774","11721","11441","10406","9117","9518","4047","7319","292","1711","0","144","0","0","0","0","20220903"
"202208","1호선","동묘앞","145","1","2799","1039","3456","4571","5920","8160","10055","17264","8698","16243","10088","19117","15536","24563","20503","24779","23948","26369","25707","24996","26481","22048","27628","17117","24906","13526","18760","10769","9628","6872","5346","4725","5060","4621","3269","5588","1225","3281","97","1297","2","270","0","0","0","0","20220903"
"202208","1호선","서울역","573","19","8638","8274","12332","45706","39560","102779","63523","200999","51463","135243","53148","73952","66606","63535","73670","72828","76256","70496","62414","61782","82192","66485","98171","68334","147450","79113","196734","85871","99429","55013","68290","38921","74523","33974","48797","24894","22497","12503","2017","2148","0","208","0","1","0","0","20220903"
"202208","1호선","시청","39","0","2005","4665","3404","23606","6430","65621","8401","181920","10174","80351","12315","37637","18961","36074","21136","33848","24416","34644","31044","27405","40586","23302","47178","20537","82934","21803","152047","22422","51917","11165","44751","6174","40430","6373","27353","4362","8948","2631","320","688","2","7","0","0","0","0","20220903"
"202208","1호선","신설동","309","22","8586","2260","8758","9028","18458","22614","26047","54554","17926","30292","15728","20197","18093","17900","19194","17223","20611","17713","19633","16529","21687","17453","26657","18443","35781","21427","49329","26866","18993","18717","13237","12048","12588","11922","8057","10256","3394","7257","294","1806","0","7","0","0","0","0","20220903"
"202208","1호선","제기동","357","4","5001","2038","8276","8838","21335","19703","31333","40232","22857","34466","26008","38818","33280","42490","37404","44503","36902","43983","38943","40744","43059","35503","45125","30281","42652","26406","39590","27152","19168","17478","12081","11205","8162","10437","5401","9117","1992","6002","100","1141","0","2","0","0","0","0","20220903"
"202208","1호선","종각","54","4","3356","4382","3765","22971","5801","98968","9571","243599","11798","131015","16651","58516","25736","53733","32712","47745","40772","48226","48468","40403","60771","34901","69148","36622","134930","41209","205167","45511","83195","23540","71248","10941","78248","8403","58110","5591","26636","3215","970","607","1","1","0","0","0","0","20220903"
"202208","1호선","종로3가","118","10","3367","3149","3409","13161","4642","25201","8037","69020","12995","66338","19816","57735","30813","60906","41310","60767","47319","59139","50723","49852","59875","40790","66505","36768","75937","33858","91878","34639","54375","17633","42681","8934","44428","7059","34677","5153","14726","3575","1177","1455","1","30","0","0","0","0","20220903"
"202208","1호선","종로5가","38","2","1632","3635","2766","15329","5251","40866","8560","93100","12562","56834","20776","50437","30729","52138","39016","49519","44144","46158","48929","42934","53800","36637","57192","33570","76167","30852","89825","28061","44637","14885","30057","6990","26634","5337","18556","4297","5541","2481","194","728","1","1","0","0","0","0","20220903"
"202208","1호선","청량리(서울시립대입구)","915","17","10286","4451","15174","21761","34968","17224","44626","34255","29439","30996","29565","36968","34584","40049","37908","38921","39369","40423","38655","42144","42876","42073","51039","38106","48765","38252","41598","46241","22427","29905","16358","17525","11874","16774","7626","15136","3086","8582","173","3132","0","6","0","0","0","0","20220903"
